a1,a2,a3,a4,a5,a6,a7,t-3,t-2,t-1,t
241.7142857,776.4285714,43.71428571,522.4285714,824.5714286,24.71428571,980.7142857,3.1,3.1,3.2,2.9
245.4285714,905,36.28571429,565,950.2857143,26.28571429,1089.142857,3.1,3.2,2.9,3.1
264.8571429,828.5714286,49.71428571,526,859.7142857,51.14285714,974.8571429,3.2,2.9,3.1,3.2
279.8571429,761.7142857,53.85714286,504.4285714,824.5714286,44,953,2.9,3.1,3.2,3.6
366.5714286,816.5714286,80.71428571,477.8571429,778.8571429,8.714285714,867.1428571,3.1,3.2,3.6,3.7
412.1428571,873.7142857,80.85714286,497,855.4285714,61.28571429,998.1428571,3.2,3.6,3.7,3.6
401.5714286,915.2857143,72.71428571,513.5714286,882.5714286,42.85714286,1018.142857,3.6,3.7,3.6,3.4
316.7142857,824.7142857,66.28571429,461.1428571,794.7142857,50.71428571,968.4285714,3.7,3.6,3.4,3.4
313.1428571,881.1428571,64.71428571,444.1428571,787.5714286,60.42857143,978.7142857,3.6,3.4,3.4,3.5
304.8571429,823.1428571,66.57142857,458.2857143,774.4285714,25.57142857,1032.142857,3.4,3.4,3.5,3.5
286,832.4285714,63.85714286,436.4285714,825.2857143,44.14285714,1030,3.4,3.5,3.5,3.5
266.5714286,796.5714286,51.85714286,403.2857143,840.7142857,50.14285714,1097.714286,3.5,3.5,3.5,
332.7142857,785.1428571,60.28571429,406,833,25.14285714,1096,3.5,3.5,,3.3
370.5714286,845,58,410,790.5714286,27,1108.428571,3.5,,3.3,3.2
281,915.4285714,16.85714286,396.5714286,915.4285714,51.28571429,1162.714286,,3.3,3.2,2.9
241.1428571,940.4285714,8.571428571,422.8571429,984.5714286,34.28571429,1218.285714,3.3,3.2,2.9,2.8
256.5714286,967.8571429,42.71428571,447.4285714,954.8571429,42.42857143,1256.285714,3.2,2.9,2.8,2.7
255.2857143,959,0,438,964.7142857,44.14285714,1207.571429,2.9,2.8,2.7,2.8
232.7142857,1090.714286,8.714285714,412.1428571,1009.428571,41.85714286,1110.714286,2.8,2.7,2.8,2.9
224.8571429,1011.714286,0,430.2857143,1088.571429,33.28571429,1204.571429,2.7,2.8,2.9,2.6
226,1021.285714,0,463.5714286,1185.285714,35.14285714,1299.714286,2.8,2.9,2.6,2.7
216.4285714,1063.571429,0,480.1428571,1189.571429,36.42857143,1262.714286,2.9,2.6,2.7,3
188.4285714,910.2857143,0,406.4285714,939.1428571,27.42857143,1046.714286,2.6,2.7,3,2.6
223.2857143,996,8.571428571,461.1428571,1151.714286,17.42857143,1234.571429,2.7,3,2.6,2.4
231.1428571,915.5714286,8.571428571,450.2857143,1106.142857,25.85714286,1213.428571,3,2.6,2.4,2.4
238.5714286,886.7142857,0,468.1428571,990,34.71428571,1113.857143,2.6,2.4,2.4,2.4
230.5714286,886.1428571,0,428.2857143,1019,26.57142857,1102.571429,2.4,2.4,2.4,2.3
224,849.5714286,0,451.7142857,1076.142857,46.85714286,1146.142857,2.4,2.4,2.3,
204.7142857,942.5714286,0,440.8571429,1129.571429,53.85714286,1193.857143,2.4,2.3,,2.4
282.1428571,1175.428571,0,491.2857143,1222.285714,63.85714286,1355.428571,2.3,,2.4,2.4
392.8571429,1234.857143,69.28571429,511,1248.285714,74.57142857,1348,,2.4,2.4,2.3
539.1428571,1246.714286,103.4285714,533,1317.571429,87.85714286,1393.142857,2.4,2.4,2.3,2.3
786,1383.285714,92.42857143,569.2857143,1387.857143,117.8571429,1469.714286,2.4,2.3,2.3,2.5
1006.142857,1633.571429,95.42857143,582.4285714,1444.571429,116.5714286,1488.571429,2.3,2.3,2.5,2.7
907.7142857,2047.714286,127.5714286,623.5714286,1550.285714,105.1428571,1525.285714,2.3,2.5,2.7,2.9
740.4285714,2213.428571,99,621.7142857,1627.142857,87.85714286,1549.285714,2.5,2.7,2.9,2.8
577.7142857,2133.142857,88.85714286,657.5714286,1624.285714,102,1526,2.7,2.9,2.8,3
524.4285714,1877.428571,102.4285714,596.5714286,1417.285714,123.2857143,1433.714286,2.9,2.8,3,3.2
439.1428571,1729.571429,80.14285714,592.5714286,1366.714286,91.85714286,1410.142857,2.8,3,3.2,3
385.2857143,1460.714286,66,496.8571429,1327.285714,68.14285714,1362.714286,3,3.2,3,2.8
347.5714286,1407.285714,66,479,1329.142857,61.42857143,1337,3.2,3,2.8,2.7
311.1428571,1451.428571,64.57142857,507.5714286,1285.714286,79.42857143,1355.142857,3,2.8,2.7,3.6
318.7142857,1276.714286,55.14285714,398.8571429,1107.285714,76.28571429,1128.571429,2.8,2.7,3.6,2.7
332.5714286,1334.428571,67.14285714,449.7142857,1316.571429,76.42857143,1343.571429,2.7,3.6,2.7,2.4
339.2857143,1293.857143,65.28571429,506.5714286,1392.714286,64.57142857,1435.428571,3.6,2.7,2.4,
316.8571429,1244.714286,67.71428571,538.1428571,1311,96.71428571,1377.857143,2.7,2.4,,2.7
295.7142857,1257.714286,70.57142857,525.7142857,1272.285714,66.57142857,1378.857143,2.4,,2.7,2.8
292.1428571,1256.285714,69,524.4285714,1275.571429,73,1374.428571,,2.7,2.8,2.8
277.2857143,1202,56.85714286,536.7142857,1224,44.85714286,1259.714286,2.7,2.8,2.8,2.8
266.5714286,1161,66,469.8571429,1256.285714,54.42857143,1277.571429,2.8,2.8,2.8,2.9
255.1428571,1200.285714,59,546.8571429,1263,66.42857143,1273.857143,2.8,2.8,2.9,2.9
255.5714286,1159.857143,66.14285714,513.5714286,1202.428571,48.42857143,1248.428571,2.8,2.9,2.9,3
241.5714286,1103,56,466.2857143,1095.285714,45.28571429,1115.428571,2.9,2.9,3,2.9
250.2857143,1080.285714,73.14285714,496.5714286,1127.428571,57.42857143,1159.428571,2.9,3,2.9,3.1
244,1054.285714,62,471.1428571,1111.285714,27.42857143,1118.142857,3,2.9,3.1,
265.7142857,1062.285714,62.57142857,521.7142857,1082.571429,18.85714286,1136.142857,2.9,3.1,,3.5
382,994.4285714,54.14285714,688.4285714,935.7142857,46,1132.571429,3.1,,3.5,4
607.2857143,1009.142857,69.57142857,846.5714286,1022.428571,47.28571429,1180.142857,,3.5,4,4.1
575.5714286,1015.285714,63,811,1088.714286,64.28571429,1205.571429,3.5,4,4.1,4.1
543.1428571,995.5714286,76.28571429,733,1071.857143,58,1209,4,4.1,4.1,4.1
439.7142857,981.5714286,69.71428571,612.7142857,1108.857143,45.57142857,1233.428571,4.1,4.1,4.1,3.9
478.7142857,978.2857143,80.42857143,621.5714286,1118.285714,54.71428571,1302.571429,4.1,4.1,3.9,3.6
383.1428571,1032.428571,56.14285714,599.8571429,1125.285714,65.85714286,1350.857143,4.1,3.9,3.6,3.6
337.4285714,992,66.85714286,569.2857143,1042.428571,45.28571429,1306.714286,3.9,3.6,3.6,3.6
324.2857143,1108.714286,63.14285714,567.7142857,1101.142857,54.57142857,1368.428571,3.6,3.6,3.6,3.8
329.2857143,1150.285714,45.85714286,556,1135.285714,57.28571429,1430.857143,3.6,3.6,3.8,3.3
270.1428571,1085,43.14285714,547.2857143,1162.285714,45,1426.142857,3.6,3.8,3.3,3.1
255,1050.428571,17.28571429,558,1161.428571,36.71428571,1342.285714,3.8,3.3,3.1,2.9
232,1076.571429,8.571428571,538.1428571,1188.714286,45.42857143,1315,3.3,3.1,2.9,2.9
224,1078.142857,34.57142857,545.8571429,1195.285714,26.71428571,1278.714286,3.1,2.9,2.9,2.8
227.5714286,983.2857143,8.571428571,527.7142857,1183.714286,43.85714286,1218.142857,2.9,2.9,2.8,2.6
231.1428571,962.7142857,9,572.2857143,1243.571429,0,1271.142857,2.9,2.8,2.6,2.7
226.7142857,1002.857143,0,593.2857143,1246.285714,26,1345.857143,2.8,2.6,2.7,2.7
194.7142857,884.8571429,0,594.2857143,1182.428571,27.28571429,1324.714286,2.6,2.7,2.7,2.8
193.4285714,755.8571429,0,537.2857143,1124.285714,8.571428571,1236,2.7,2.7,2.8,2.4
208.1428571,756.7142857,0,554.7142857,1159.714286,9.428571429,1273.142857,2.7,2.8,2.4,2.5
200.4285714,776.4285714,8.571428571,607.2857143,1166.142857,8.714285714,1365,2.8,2.4,2.5,2.5
192.5714286,762,0,603.2857143,1148.285714,17.28571429,1297,2.4,2.5,2.5,2.5
199.4285714,672.1428571,8.571428571,562.1428571,1146.714286,44.14285714,1267.285714,2.5,2.5,2.5,2.4
192,849.7142857,9,512.1428571,1206.714286,45,1303.714286,2.5,2.5,2.4,2.4
