a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,t-3,t-2,t-1,t
1514.571429,220.7142857,2542.571429,1290.285714,172.2857143,0,186.5714286,1509.285714,44.14285714,1207.571429,3937.428571,959,255.2857143,76,2.3,2.3,2.4,2.5
1180.428571,238.2857143,2418.714286,1286.857143,180.2857143,8.714285714,193.1428571,1383.857143,41.85714286,1110.714286,3893.571429,1090.714286,232.7142857,54,2.3,2.4,2.5,2.6
1121.857143,231.1428571,2523.428571,1365.428571,174.4285714,0,194.4285714,1425.857143,33.28571429,1204.571429,4445.571429,1011.714286,224.8571429,53,2.4,2.5,2.6,2.5
1105.571429,232.4285714,2503.285714,1450.857143,175.2857143,0,189.5714286,1481.428571,35.14285714,1299.714286,4635.285714,1021.285714,226,28.57142857,2.5,2.6,2.5,2.4
1179.428571,228.1428571,2523.142857,1478.285714,193.5714286,0,209.4285714,1546.285714,36.42857143,1262.714286,4438.142857,1063.571429,216.4285714,27.42857143,2.6,2.5,2.4,2.8
1062,202.5714286,2468.142857,1291.571429,191.2857143,0,187.2857143,1466.571429,27.42857143,1046.714286,3835.428571,910.2857143,188.4285714,0,2.5,2.4,2.8,2.6
1258.428571,237.2857143,2580.857143,1502.571429,209.8571429,8.571428571,212.4285714,1511.142857,17.42857143,1234.571429,4381.714286,996,223.2857143,54.42857143,2.4,2.8,2.6,2.6
1188.857143,230.5714286,2306.714286,1543.571429,196.8571429,8.571428571,212.8571429,1498.857143,25.85714286,1213.428571,4129,915.5714286,231.1428571,43.85714286,2.8,2.6,2.6,2.6
1186.285714,251.7142857,2276.428571,1460.857143,184.7142857,0,194.5714286,1506,34.71428571,1113.857143,3704.571429,886.7142857,238.5714286,44.14285714,2.6,2.6,2.6,2.8
1265.285714,283.7142857,2296.142857,1398.428571,186.7142857,0,193.5714286,1524.714286,26.57142857,1102.571429,3772,886.1428571,230.5714286,99.42857143,2.6,2.6,2.8,2.7
