a1,a2,a3,a4,a5,a6,a7,t-3,t-2,t-1,t
612.4285714,185.8571429,2435.285714,405.4285714,379.5714286,169.1428571,118,3.2,3.3,3.5,3.2
630.5714286,187.2857143,2445.285714,393.4285714,394.8571429,168.4285714,114.1428571,3.3,3.5,3.2,3.1
568.5714286,193.1428571,2334,375.8571429,349,168.5714286,131.5714286,3.5,3.2,3.1,3
586.7142857,229.1428571,2215.142857,360,351.2857143,166.7142857,113.8571429,3.2,3.1,3,3
627.1428571,222.8571429,2376.714286,388,374.4285714,175.4285714,127.7142857,3.1,3,3,3
620.1428571,217.4285714,2341.714286,365.5714286,382.2857143,169,132.4285714,3,3,3,3.2
640,217,2099.571429,350.5714286,371.7142857,166,115,3,3,3.2,2.5
698.7142857,176.1428571,2302.285714,348.8571429,394,148,105.2857143,3,3.2,2.5,3
2457.428571,234.4285714,2328.714286,369.2857143,437,162.7142857,125.1428571,3.2,2.5,3,2.8
2443.571429,230.2857143,2038.428571,340.8571429,390.8571429,171.8571429,93.28571429,2.5,3,2.8,2.5
1910,251.8571429,2025.428571,324.5714286,357.2857143,178.7142857,109.2857143,3,2.8,2.5,2.5
1630.857143,244.5714286,2098.285714,342.8571429,336.7142857,161.8571429,106.7142857,2.8,2.5,2.5,2.7
1632.142857,246,2063.714286,341.4285714,366.4285714,166.7142857,132.2857143,2.5,2.5,2.7,2.6
1479.428571,231.4285714,1987.714286,319.2857143,323,169.4285714,129.5714286,2.5,2.7,2.6,2.4
1612.857143,235.2857143,2083.428571,349.1428571,356,156.1428571,131.5714286,2.7,2.6,2.4,2.6
1608.428571,243.7142857,2191.142857,347.8571429,369.1428571,153.4285714,149.7142857,2.6,2.4,2.6,2.5
1669.142857,299.4285714,2575.857143,398.2857143,373.1428571,176.4285714,169,2.4,2.6,2.5,2.9
1719,291.7142857,2627.285714,411.5714286,344.5714286,202.2857143,219.4285714,2.6,2.5,2.9,2.9
2034.714286,373.7142857,2642.428571,419,439.1428571,243.2857143,250.1428571,2.5,2.9,2.9,3.1
1937.285714,353.7142857,2985.857143,490.7142857,482.2857143,269.1428571,281.2857143,2.9,2.9,3.1,3.3
2217.428571,373.4285714,3887.142857,628.2857143,571.4285714,299.1428571,383.8571429,2.9,3.1,3.3,4
2984.857143,400.8571429,3893.714286,659.5714286,771,381.4285714,452.8571429,3.1,3.3,4,3.9
2353.857143,360.5714286,3568.285714,619.5714286,618.5714286,412.2857143,426.7142857,3.3,4,3.9,3.6
2802.571429,397.8571429,3094.285714,549,879.8571429,509.7142857,459.1428571,4,3.9,3.6,3.4
2261.142857,283.8571429,2812,469.4285714,776.2857143,610.7142857,318.7142857,3.9,3.6,3.4,4.3
1934.714286,276.8571429,2735.714286,427.1428571,536.7142857,349.2857143,240,3.6,3.4,4.3,3.5
1772.857143,243.4285714,2223.428571,383.5714286,430.5714286,341.8571429,186.5714286,3.4,4.3,3.5,2.7
1810.142857,262,2243,362.8571429,428.2857143,300.7142857,164.8571429,4.3,3.5,2.7,2.6
1676.714286,245.1428571,2396.428571,379.2857143,419.7142857,273.1428571,160.7142857,3.5,2.7,2.6,2.8
1537.571429,250.7142857,2396.428571,407.1428571,428.8571429,275.4285714,158.7142857,2.7,2.6,2.8,2.8
1500.428571,254.7142857,2500.714286,397.8571429,426.7142857,272.8571429,175,2.6,2.8,2.8,2.9
1361.428571,258.2857143,2656.285714,381.7142857,393.8571429,251.4285714,201.4285714,2.8,2.8,2.9,3
1663.714286,252.7142857,2551.571429,417.1428571,340.1428571,250.2857143,189.2857143,2.8,2.9,3,3.1
1590,231.1428571,2316.571429,389.8571429,307.5714286,223.8571429,150,2.9,3,3.1,3.2
1661.857143,248.2857143,2473.285714,410.4285714,332.8571429,241.2857143,173.7142857,3,3.1,3.2,3.2
1583.571429,248.4285714,2463.285714,423.2857143,300.2857143,228.8571429,144.8571429,3.1,3.2,3.2,3.1
1484.285714,254.5714286,2490.571429,412.2857143,277.4285714,219,145.8571429,3.2,3.2,3.1,3.1
1302.571429,220.8571429,2310.857143,408,274.4285714,212,117.7142857,3.2,3.1,3.1,3.2
1276.857143,246.8571429,2361.428571,430.1428571,293,218,100.4285714,3.1,3.1,3.2,2.9
1279.857143,271.1428571,2358.714286,414.7142857,242.7142857,223.1428571,142.2857143,3.1,3.2,2.9,3.1
1375,258,2544.571429,451.5714286,240.2857143,213.8571429,92,3.2,2.9,3.1,3.2
1203.285714,232.7142857,2504.142857,454.1428571,229.5714286,197.5714286,97.57142857,2.9,3.1,3.2,3.6
1382,250.4285714,2940,508.2857143,232,223,100.7142857,3.1,3.2,3.6,3.7
1242.142857,248.5714286,2949.428571,516.5714286,230.8571429,221.7142857,123.2857143,3.2,3.6,3.7,3.6
1191.714286,249.4285714,2905.285714,491.2857143,213.5714286,212.1428571,87.85714286,3.6,3.7,3.6,3.4
1025.857143,224.5714286,2836.428571,513.5714286,204.8571429,197.8571429,93.28571429,3.7,3.6,3.4,3.4
1098.428571,236.2857143,2922.714286,571.5714286,215,210.7142857,103.1428571,3.6,3.4,3.4,3.5
934.4285714,214.5714286,2952.285714,530.2857143,212,211.1428571,110.4285714,3.4,3.4,3.5,3.5
918.5714286,198.7142857,2772.142857,531,190,208.1428571,95.28571429,3.4,3.5,3.5,3.5
938.8571429,200.2857143,2855.142857,565.4285714,181,196.4285714,102.8571429,3.5,3.5,3.5,
1187.857143,225,2784.857143,575.5714286,172.1428571,202.1428571,107.2857143,3.5,3.5,,3.3
1245,228.7142857,2746.857143,521,174.5714286,192,96.71428571,3.5,,3.3,3.2
1176.571429,224.5714286,2726,537.5714286,177.7142857,190.7142857,99.14285714,,3.3,3.2,2.9
