a1,a2,a3,a4,t-3,t-2,t-1,t
961.7142857,3337.857143,840.5714286,466.8571429,4.8,4.2,3.2,2.9
1028.428571,3096.142857,854.4285714,637.4285714,4.2,3.2,2.9,2.9
1059.428571,3457.571429,996.5714286,458.7142857,3.2,2.9,2.9,2.9
1129.285714,4012.142857,1117.285714,427.1428571,2.9,2.9,2.9,3
1205.571429,4243.571429,1049.714286,386.8571429,2.9,2.9,3,3
1226.285714,4297.285714,1059.571429,386.4285714,2.9,3,3,2.9
1117.571429,3771.142857,954.2857143,316.5714286,3,3,2.9,2.8
1067.428571,3392,814.4285714,303.7142857,3,2.9,2.8,2.7
1062.571429,3412.285714,870.8571429,274.4285714,2.9,2.8,2.7,2.6
1005.714286,3183.714286,828.8571429,292.2857143,2.8,2.7,2.6,2.6
1034.714286,3183.857143,804.4285714,250.5714286,2.7,2.6,2.6,2.7
980.7142857,3080.428571,776.4285714,241.7142857,2.6,2.6,2.7,2.6
1089.142857,3315.142857,905,245.4285714,2.6,2.7,2.6,2.6
974.8571429,3110.571429,828.5714286,264.8571429,2.7,2.6,2.6,2.6
953,3081.142857,761.7142857,279.8571429,2.6,2.6,2.6,2.7
867.1428571,2683.571429,816.5714286,366.5714286,2.6,2.6,2.7,2.6
998.1428571,2924.857143,873.7142857,412.1428571,2.6,2.7,2.6,2.5
1018.142857,3101.142857,915.2857143,401.5714286,2.7,2.6,2.5,2.5
968.4285714,3037.714286,824.7142857,316.7142857,2.6,2.5,2.5,2.6
978.7142857,2919,881.1428571,313.1428571,2.5,2.5,2.6,2.7
1032.142857,3099.428571,823.1428571,304.8571429,2.5,2.6,2.7,2.6
1030,3097.571429,832.4285714,286,2.6,2.7,2.6,2.5
1097.714286,3085.571429,796.5714286,266.5714286,2.7,2.6,2.5,
1096,3126,785.1428571,332.7142857,2.6,2.5,,2.4
1108.428571,3166.428571,845,370.5714286,2.5,,2.4,2.4
1162.714286,3500.142857,915.4285714,281,,2.4,2.4,2.3
1218.285714,3808.857143,940.4285714,241.1428571,2.4,2.4,2.3,2.3
1256.285714,3897.571429,967.8571429,256.5714286,2.4,2.3,2.3,2.4
1207.571429,3937.428571,959,255.2857143,2.3,2.3,2.4,2.5
1110.714286,3893.571429,1090.714286,232.7142857,2.3,2.4,2.5,2.6
1204.571429,4445.571429,1011.714286,224.8571429,2.4,2.5,2.6,2.5
1299.714286,4635.285714,1021.285714,226,2.5,2.6,2.5,2.4
1262.714286,4438.142857,1063.571429,216.4285714,2.6,2.5,2.4,2.8
1046.714286,3835.428571,910.2857143,188.4285714,2.5,2.4,2.8,2.6
1234.571429,4381.714286,996,223.2857143,2.4,2.8,2.6,2.6
1213.428571,4129,915.5714286,231.1428571,2.8,2.6,2.6,2.6
1113.857143,3704.571429,886.7142857,238.5714286,2.6,2.6,2.6,2.8
1102.571429,3772,886.1428571,230.5714286,2.6,2.6,2.8,2.7
1146.142857,3991.857143,849.5714286,224,2.6,2.8,2.7,
