a1,a2,a3,a4,t-3,t-2,t-1,t
1258.428571,3246.714286,1041.285714,1438.142857,8.5,6.4,5.4,4.4
1111.142857,2632.285714,937.8571429,1272.571429,6.4,5.4,4.4,3.5
1078.714286,2189.714286,784.5714286,1168.714286,5.4,4.4,3.5,2.8
1041,1854.428571,653.5714286,1181,4.4,3.5,2.8,2.5
985.1428571,1742.857143,607.4285714,1118.428571,3.5,2.8,2.5,2.4
1089.142857,1760.857143,571.7142857,867.2857143,2.8,2.5,2.4,2.3
1096,1724.714286,506,781.7142857,2.5,2.4,2.3,2.1
1030.571429,1628.285714,471.5714286,660.7142857,2.4,2.3,2.1,1.9
982.1428571,1523.857143,440.4285714,530.5714286,2.3,2.1,1.9,1.9
1134.428571,1513.571429,463.1428571,446.4285714,2.1,1.9,1.9,1.8
970.1428571,1549.571429,462.1428571,440.2857143,1.9,1.9,1.8,1.9
816.1428571,1380.142857,451.7142857,391.1428571,1.9,1.8,1.9,1.9
838.7142857,1430.571429,475,387.4285714,1.8,1.9,1.9,1.9
914.7142857,1661.285714,557.2857143,403,1.9,1.9,1.9,1.9
947.7142857,1867.571429,687,395.1428571,1.9,1.9,1.9,1.9
1035.142857,2253,823.1428571,366.1428571,1.9,1.9,1.9,
1078.428571,2437.142857,943.1428571,339.8571429,1.9,1.9,,2.2
1112.857143,2624,981.5714286,360.2857143,1.9,,2.2,2.4
1159,2813.571429,1008.285714,431.1428571,,2.2,2.4,2
1110.714286,2796,949.7142857,347.7142857,2.2,2.4,2,1.9
1139.142857,3075,934.1428571,369.7142857,2.4,2,1.9,2.2
1099,2273,910.8571429,329.8571429,2,1.9,2.2,1.8
1106.857143,2373.285714,955,308.8571429,1.9,2.2,1.8,2
1103.428571,2745.571429,969.8571429,301.4285714,2.2,1.8,2,
1100.571429,2467.571429,1005.857143,321.5714286,1.8,2,,1.9
1096,2563.857143,992.7142857,307.5714286,2,,1.9,1.9
1108.714286,2529.714286,985.5714286,327.8571429,,1.9,1.9,1.7
1094.428571,2955.285714,987.1428571,324.4285714,1.9,1.9,1.7,1.8
1100.285714,2505.857143,1007.714286,311.8571429,1.9,1.7,1.8,
1136.714286,2615,1020,345.7142857,1.7,1.8,,2
1173.428571,3125.428571,1092.142857,455.7142857,1.8,,2,2.1
1292.285714,4769.142857,1117,449.1428571,,2,2.1,2.2
1516.142857,5924.714286,1187,495.1428571,2,2.1,2.2,2.5
1434.428571,4339.857143,1087.571429,390.5714286,2.1,2.2,2.5,2.4
1504.571429,4767.142857,1102,381.7142857,2.2,2.5,2.4,2.2
1400,4349.714286,1112.142857,466.4285714,2.5,2.4,2.2,2.3
1365.714286,3874,1093.428571,443.5714286,2.4,2.2,2.3,2.4
1311.428571,3905.571429,1083.571429,497,2.2,2.3,2.4,2.5
1312.285714,3493.285714,1083.428571,479.8571429,2.3,2.4,2.5,2.5
1357.142857,3836.714286,1107.571429,464.1428571,2.4,2.5,2.5,
1284.857143,3751.428571,1087,479.5714286,2.5,2.5,,2.4
1257.428571,3324,1039.857143,565.8571429,2.5,,2.4,2.6
1236.571429,3696,1067.142857,452.8571429,,2.4,2.6,2.7
1341.571429,4250.857143,1117.428571,481.7142857,2.4,2.6,2.7,2.8
1386.714286,4185.142857,1115.428571,468.1428571,2.6,2.7,2.8,2.9
1498.857143,4346.714286,1176.428571,568.1428571,2.7,2.8,2.9,3.1
1444.571429,4445.428571,1105.142857,463.1428571,2.8,2.9,3.1,2.5
1621.285714,5064.714286,1139.428571,475.5714286,2.9,3.1,2.5,2.7
1688.571429,5036.285714,1129.428571,455.4285714,3.1,2.5,2.7,2.6
1467,4608,1114.571429,423.4285714,2.5,2.7,2.6,2.4
1290.714286,3827.857143,1054,355.4285714,2.7,2.6,2.4,2
1148.857143,2881.857143,956.2857143,320.8571429,2.6,2.4,2,2.6
996.2857143,1928.428571,695.4285714,232.8571429,2.4,2,2.6,2.7
1041.857143,2411.714286,790.2857143,255.4285714,2,2.6,2.7,1.7
1041.571429,2474.428571,758,263.4285714,2.6,2.7,1.7,1.6
1049,2392.571429,690.1428571,266.5714286,2.7,1.7,1.6,1.8
1072,3081.857143,820.5714286,275.8571429,1.7,1.6,1.8,1.9
1141.857143,4589.428571,1013.714286,302,1.6,1.8,1.9,2.1
1247.428571,5458.285714,1078.428571,309.4285714,1.8,1.9,2.1,2.2
1213.428571,5050.857143,1083.571429,310,1.9,2.1,2.2,2.1
1310.428571,5485.285714,1095.428571,309.8571429,2.1,2.2,2.1,2.2
1300,5406.714286,1135,322.5714286,2.2,2.1,2.2,2.3
1331.142857,5138.714286,1132.714286,352.4285714,2.1,2.2,2.3,2.4
1212.142857,4324,1049.571429,327.4285714,2.2,2.3,2.4,2.5
1208.285714,3984.857143,1017.285714,310.4285714,2.3,2.4,2.5,2.4
1174.857143,3410,996.2857143,330.7142857,2.4,2.5,2.4,2.7
1153.285714,3067.285714,1000.285714,341.2857143,2.5,2.4,2.7,2.8
1165.285714,2998.428571,1023.428571,366,2.4,2.7,2.8,3
1247.285714,2776.285714,1001.857143,401.5714286,2.7,2.8,3,3.1
1160.285714,2746.285714,983.1428571,350.1428571,2.8,3,3.1,2.9
1129,2550,923.5714286,323.2857143,3,3.1,2.9,2.7
1174.428571,2545.571429,961.7142857,311.2857143,3.1,2.9,2.7,2.6
1135.428571,2166.571429,894.7142857,289.1428571,2.9,2.7,2.6,2.4
1121.714286,2100.857143,871.2857143,286.8571429,2.7,2.6,2.4,2.4
1134.714286,2246.714286,880.4285714,272.7142857,2.6,2.4,2.4,2.4
1139,2292.428571,936,273.7142857,2.4,2.4,2.4,2.4
1147,2475.428571,958.4285714,311,2.4,2.4,2.4,2.3
1148.428571,2773.428571,967.5714286,317.2857143,2.4,2.4,2.3,2.2
1134.142857,2565.857143,858.2857143,300.4285714,2.4,2.3,2.2,2
1131.857143,2387.714286,816.7142857,288.4285714,2.3,2.2,2,1.7
1119.714286,2470.285714,793.2857143,267.4285714,2.2,2,1.7,1.6
1106.285714,2282.285714,820.1428571,284.4285714,2,1.7,1.6,1.8
1141,2664.571429,941.1428571,319.7142857,1.7,1.6,1.8,2.1
1212.714286,3464.857143,1024.285714,342.4285714,1.6,1.8,2.1,2.2
1375.571429,4555.142857,1087.714286,347,1.8,2.1,2.2,2.2
1384.857143,4367.285714,1068.428571,344.5714286,2.1,2.2,2.2,2.2
1415.857143,4620.857143,1051.714286,274.8571429,2.2,2.2,2.2,2
1377.428571,4373.571429,1056.428571,307.5714286,2.2,2.2,2,2.3
1511.571429,4745.571429,1085.714286,342,2.2,2,2.3,2.6
1657.428571,5250.142857,1169.571429,403.7142857,2,2.3,2.6,2.6
1688,5297.571429,1148.285714,398,2.3,2.6,2.6,2.7
1653.857143,4980,1089.428571,349.8571429,2.6,2.6,2.7,2.8
1565.142857,4356,1112.714286,384.2857143,2.6,2.7,2.8,2.8
1532,4082.285714,1105.714286,397.8571429,2.7,2.8,2.8,3
1500.285714,4620.857143,1151.571429,460.2857143,2.8,2.8,3,3.3
1616,5003.857143,1292.285714,529.7142857,2.8,3,3.3,
1619.857143,5145.857143,1342.857143,594.1428571,3,3.3,,3.9
1629.428571,5142,1383.142857,634,3.3,,3.9,4.1
1737.571429,5290.714286,1510.428571,663.7142857,,3.9,4.1,4
1978.428571,6051.285714,1907.428571,797.4285714,3.9,4.1,4,3.7
2006.142857,5589.142857,1738.857143,748.5714286,4.1,4,3.7,3.1
1724.428571,4966.428571,1543.714286,601,4,3.7,3.1,2.6
1570.142857,4092.142857,1263.714286,468.5714286,3.7,3.1,2.6,3.5
1201.285714,3309.571429,1056.428571,325,3.1,2.6,3.5,2.2
1410.285714,4337.571429,1227.428571,363,2.6,3.5,2.2,1.9
1334,4071.142857,1150.428571,353.4285714,3.5,2.2,1.9,1.9
1310.857143,4000.285714,1144.857143,405.7142857,2.2,1.9,1.9,2.2
1391.285714,4460.285714,1218.428571,492.2857143,1.9,1.9,2.2,2.5
1402.857143,4954.714286,1227.571429,504.2857143,1.9,2.2,2.5,2.4
1327.142857,4872.285714,1108,519.8571429,2.2,2.5,2.4,2.2
1251.571429,4283.428571,1033.857143,432.1428571,2.5,2.4,2.2,2
1347.571429,3917.714286,1026,460.8571429,2.4,2.2,2,2.2
1446,3815.714286,1012,423,2.2,2,2.2,
,,,,2,2.2,,
,,,,2.2,,,
