a1,t-3,t-2,t-1,t
125.1428571,3,2.9,3,3.2
109.1428571,2.9,3,3.2,3.4
106.8571429,3,3.2,3.4,3.4
128.1428571,3.2,3.4,3.4,3.3
117.1428571,3.4,3.4,3.3,3.1
86.28571429,3.4,3.3,3.1,3.1
45.14285714,3.3,3.1,3.1,3.1
53.14285714,3.1,3.1,3.1,3.2
27.14285714,3.1,3.1,3.2,3.3
8.714285714,3.1,3.2,3.3,3
9.428571429,3.2,3.3,3,3.5
28.14285714,3.3,3,3.5,3
9,3,3.5,3,2.8
0,3.5,3,2.8,2.5
0,3,2.8,2.5,2.5
26.57142857,2.8,2.5,2.5,2.6
8.714285714,2.5,2.5,2.6,2.5
0,2.5,2.6,2.5,2.5
27.14285714,2.6,2.5,2.5,2.6
26.57142857,2.5,2.5,2.6,2.5
70,2.5,2.6,2.5,2.4
64.42857143,2.6,2.5,2.4,2.5
73,2.5,2.4,2.5,2.4
105.1428571,2.4,2.5,2.4,2.5
210,2.5,2.4,2.5,2.4
114.2857143,2.4,2.5,2.4,2.4
67.85714286,2.5,2.4,2.4,2.5
74.85714286,2.4,2.4,2.5,2.4
102,2.4,2.5,2.4,2.5
63.71428571,2.5,2.4,2.5,2.5
110.7142857,2.4,2.5,2.5,3.2
44.85714286,2.5,2.5,3.2,
8.714285714,2.5,3.2,,
53.14285714,3.2,,,2.6
88.42857143,,,2.6,2.7
62.85714286,,2.6,2.7,2.8
81.85714286,2.6,2.7,2.8,3.2
95.28571429,2.7,2.8,3.2,3.5
109.8571429,2.8,3.2,3.5,3.7
132.5714286,3.2,3.5,3.7,4
138.7142857,3.5,3.7,4,4.9
159.8571429,3.7,4,4.9,5.2
184.5714286,4,4.9,5.2,5.3
214.7142857,4.9,5.2,5.3,5.8
378.1428571,5.2,5.3,5.8,5.5
374.7142857,5.3,5.8,5.5,5.2
437.5714286,5.8,5.5,5.2,4.9
449.8571429,5.5,5.2,4.9,4.2
274.5714286,5.2,4.9,4.2,3.7
179.5714286,4.9,4.2,3.7,4.5
142.8571429,4.2,3.7,4.5,3.6
160.2857143,3.7,4.5,3.6,2.9
155,4.5,3.6,2.9,2.6
250.5714286,3.6,2.9,2.6,2.6
213.4285714,2.9,2.6,2.6,2.6
190.4285714,2.6,2.6,2.6,2.6
171.8571429,2.6,2.6,2.6,2.5
152.2857143,2.6,2.6,2.5,2.3
124.4285714,2.6,2.5,2.3,2.4
119.2857143,2.5,2.3,2.4,2.3
115.5714286,2.3,2.4,2.3,2.6
83.28571429,2.4,2.3,2.6,2.3
80,2.3,2.6,2.3,2.3
63,2.6,2.3,2.3,
53,2.3,2.3,,2.4
52,2.3,,2.4,2.4
25.57142857,,2.4,2.4,2.3
35.42857143,2.4,2.4,2.3,2.4
35.14285714,2.4,2.3,2.4,2.3
26.14285714,2.3,2.4,2.3,2.3
8.428571429,2.4,2.3,2.3,2.2
8.428571429,2.3,2.3,2.2,
17.71428571,2.3,2.2,,2.2
0,2.2,,2.2,2.1
34.85714286,,2.2,2.1,2.1
0,2.2,2.1,2.1,
17.14285714,2.1,2.1,,2.1
44.28571429,2.1,,2.1,2
43,,2.1,2,2.1
54,2.1,2,2.1,2.1
95.57142857,2,2.1,2.1,2.1
74,2.1,2.1,2.1,2
45.42857143,2.1,2.1,2,2.8
54.42857143,2.1,2,2.8,2.1
35.42857143,2,2.8,2.1,2.3
73.28571429,2.8,2.1,2.3,2.3
88.14285714,2.1,2.3,2.3,2.3
103.5714286,2.3,2.3,2.3,2.5
113.7142857,2.3,2.3,2.5,2.6
104.2857143,2.3,2.5,2.6,2.8
117.8571429,2.5,2.6,2.8,3
144.7142857,2.6,2.8,3,3.2
