a1,a2,a3,a4,a5,a6,a7,a8,a9,t-3,t-2,t-1,t
1479.428571,231.4285714,1987.714286,1409,323,33.71428571,169.4285714,1563.428571,83.42857143,3.6,3.4,3.6,3.6
1612.857143,235.2857143,2083.428571,1569.285714,356,51.42857143,156.1428571,1578.714286,76.57142857,3.4,3.6,3.6,3.6
1608.428571,243.7142857,2191.142857,1581.714286,369.1428571,70.28571429,153.4285714,1527.857143,62.85714286,3.6,3.6,3.6,3.6
1669.142857,299.4285714,2575.857143,1839.428571,373.1428571,84.14285714,176.4285714,1759.285714,115.2857143,3.6,3.6,3.6,3.7
1719,291.7142857,2627.285714,1853.285714,344.5714286,105.4285714,202.2857143,2130.142857,103.7142857,3.6,3.6,3.7,3.8
2034.714286,373.7142857,2642.428571,1649,439.1428571,88.28571429,243.2857143,2250,126.2857143,3.6,3.7,3.8,3.4
1937.285714,353.7142857,2985.857143,1745.428571,482.2857143,103.2857143,269.1428571,1883.285714,118.4285714,3.7,3.8,3.4,3.6
2217.428571,373.4285714,3887.142857,2098.571429,571.4285714,126.8571429,299.1428571,2141.857143,167.1428571,3.8,3.4,3.6,4.4
2984.857143,400.8571429,3893.714286,1992.428571,771,133.2857143,381.4285714,2219.571429,178.1428571,3.4,3.6,4.4,4.3
2353.857143,360.5714286,3568.285714,1655.571429,618.5714286,122.8571429,412.2857143,2151.285714,161,3.6,4.4,4.3,4.3
2802.571429,397.8571429,3094.285714,1594.428571,879.8571429,161,509.7142857,2039.714286,155.1428571,4.4,4.3,4.3,4.1
2261.142857,283.8571429,2812,1363.142857,776.2857143,104.5714286,610.7142857,1766.571429,135.1428571,4.3,4.3,4.1,4.8
1934.714286,276.8571429,2735.714286,1322.571429,536.7142857,70.85714286,349.2857143,1891.142857,84.71428571,4.3,4.1,4.8,4.2
1772.857143,243.4285714,2223.428571,1305.857143,430.5714286,72.85714286,341.8571429,1683.285714,72.14285714,4.1,4.8,4.2,3.2
1810.142857,262,2243,1386.142857,428.2857143,69.71428571,300.7142857,1626.857143,89.71428571,4.8,4.2,3.2,2.9
1676.714286,245.1428571,2396.428571,1450.857143,419.7142857,80.71428571,273.1428571,1708.428571,71.57142857,4.2,3.2,2.9,2.9
1537.571429,250.7142857,2396.428571,1510.142857,428.8571429,75,275.4285714,1756.714286,99,3.2,2.9,2.9,2.9
1500.428571,254.7142857,2500.714286,1552.285714,426.7142857,80.42857143,272.8571429,1798.714286,92.71428571,2.9,2.9,2.9,3
1361.428571,258.2857143,2656.285714,1507.857143,393.8571429,69.57142857,251.4285714,1806.571429,77.28571429,2.9,2.9,3,3
1663.714286,252.7142857,2551.571429,1418.428571,340.1428571,66.85714286,250.2857143,1841.571429,83.71428571,2.9,3,3,2.9
1590,231.1428571,2316.571429,1259.142857,307.5714286,63.85714286,223.8571429,1779.285714,62.85714286,3,3,2.9,2.8
1661.857143,248.2857143,2473.285714,1340.285714,332.8571429,62.28571429,241.2857143,1786.571429,60.28571429,3,2.9,2.8,2.7
1583.571429,248.4285714,2463.285714,1258.428571,300.2857143,65.28571429,228.8571429,1816.857143,34.14285714,2.9,2.8,2.7,2.6
1484.285714,254.5714286,2490.571429,1266.857143,277.4285714,62,219,1683.428571,61,2.8,2.7,2.6,2.6
1302.571429,220.8571429,2310.857143,1300.571429,274.4285714,43.71428571,212,1450,24.71428571,2.7,2.6,2.6,2.7
1276.857143,246.8571429,2361.428571,1412,293,36.28571429,218,1528,26.28571429,2.6,2.6,2.7,2.6
1279.857143,271.1428571,2358.714286,1304.714286,242.7142857,49.71428571,223.1428571,1503.428571,51.14285714,2.6,2.7,2.6,2.6
1375,258,2544.571429,1183,240.2857143,53.85714286,213.8571429,1481.428571,44,2.7,2.6,2.6,2.6
1203.285714,232.7142857,2504.142857,1049,229.5714286,80.71428571,197.5714286,1335.857143,8.714285714,2.6,2.6,2.6,2.7
1382,250.4285714,2940,1052.714286,232,80.85714286,223,1459.714286,61.28571429,2.6,2.6,2.7,2.6
1242.142857,248.5714286,2949.428571,1084.714286,230.8571429,72.71428571,221.7142857,1509.571429,42.85714286,2.6,2.7,2.6,2.5
1191.714286,249.4285714,2905.285714,950.7142857,213.5714286,66.28571429,212.1428571,1432.714286,50.71428571,2.7,2.6,2.5,2.5
1025.857143,224.5714286,2836.428571,920.8571429,204.8571429,64.71428571,197.8571429,1374,60.42857143,2.6,2.5,2.5,2.6
1098.428571,236.2857143,2922.714286,941.2857143,215,66.57142857,210.7142857,1375.428571,25.57142857,2.5,2.5,2.6,2.7
934.4285714,214.5714286,2952.285714,965.7142857,212,63.85714286,211.1428571,1370.857143,44.14285714,2.5,2.6,2.7,2.6
918.5714286,198.7142857,2772.142857,1004.428571,190,51.85714286,208.1428571,1334.857143,50.14285714,2.6,2.7,2.6,2.5
938.8571429,200.2857143,2855.142857,1057,181,60.28571429,196.4285714,1311.714286,25.14285714,2.7,2.6,2.5,
1187.857143,225,2784.857143,1047.428571,172.1428571,58,202.1428571,1295.285714,27,2.6,2.5,,2.4
1245,228.7142857,2746.857143,1093.571429,174.5714286,16.85714286,192,1310,51.28571429,2.5,,2.4,2.4
1176.571429,224.5714286,2726,1192.142857,177.7142857,8.571428571,190.7142857,1366.285714,34.28571429,,2.4,2.4,2.3
1174.285714,216.5714286,2729.428571,1256.714286,177.4285714,42.71428571,189.1428571,1407,42.42857143,2.4,2.4,2.3,2.3
1514.571429,220.7142857,2542.571429,1290.285714,172.2857143,0,186.5714286,1509.285714,44.14285714,2.4,2.3,2.3,2.4
1180.428571,238.2857143,2418.714286,1286.857143,180.2857143,8.714285714,193.1428571,1383.857143,41.85714286,2.3,2.3,2.4,2.5
1121.857143,231.1428571,2523.428571,1365.428571,174.4285714,0,194.4285714,1425.857143,33.28571429,2.3,2.4,2.5,2.6
1105.571429,232.4285714,2503.285714,1450.857143,175.2857143,0,189.5714286,1481.428571,35.14285714,2.4,2.5,2.6,2.5
1179.428571,228.1428571,2523.142857,1478.285714,193.5714286,0,209.4285714,1546.285714,36.42857143,2.5,2.6,2.5,2.4
1062,202.5714286,2468.142857,1291.571429,191.2857143,0,187.2857143,1466.571429,27.42857143,2.6,2.5,2.4,2.8
1258.428571,237.2857143,2580.857143,1502.571429,209.8571429,8.571428571,212.4285714,1511.142857,17.42857143,2.5,2.4,2.8,2.6
1188.857143,230.5714286,2306.714286,1543.571429,196.8571429,8.571428571,212.8571429,1498.857143,25.85714286,2.4,2.8,2.6,2.6
1186.285714,251.7142857,2276.428571,1460.857143,184.7142857,0,194.5714286,1506,34.71428571,2.8,2.6,2.6,2.6
1265.285714,283.7142857,2296.142857,1398.428571,186.7142857,0,193.5714286,1524.714286,26.57142857,2.6,2.6,2.6,2.8
1304.142857,274.1428571,2033.714286,1469.857143,207.7142857,0,192.7142857,1433.142857,46.85714286,2.6,2.6,2.8,2.7
1487.714286,272.5714286,2012.857143,1597.142857,221.5714286,0,203.5714286,1408.285714,53.85714286,2.6,2.8,2.7,
1502.714286,300,2439.428571,1856.142857,312.8571429,0,230.7142857,1441.571429,63.85714286,2.8,2.7,,3
1545,297,2672.714286,1605.571429,378.2857143,69.28571429,240.5714286,1579.571429,74.57142857,2.7,,3,3.1
1619.285714,323.8571429,2812.857143,1591.142857,473.7142857,103.4285714,298.1428571,1518.571429,87.85714286,,3,3.1,3.6
1875.285714,465,3376.142857,1872.857143,743.5714286,92.42857143,325.1428571,1718.714286,117.8571429,3,3.1,3.6,3.9
1994,497.8571429,3768.142857,2129.571429,973.5714286,95.42857143,334.5714286,1777,116.5714286,3.1,3.6,3.9,4.1
1908.285714,437.8571429,3891.857143,2088.714286,738.2857143,127.5714286,359.2857143,1742.428571,105.1428571,3.6,3.9,4.1,4.2
1919.142857,365.4285714,3804.571429,2054.571429,508.8571429,99,372.1428571,1789,87.85714286,3.9,4.1,4.2,4.2
1793.428571,358.1428571,3443.571429,1987.285714,488.4285714,88.85714286,380.8571429,1752.714286,102,4.1,4.2,4.2,3.5
1813,353.2857143,3142.285714,1835.142857,501,102.4285714,406,1638.428571,123.2857143,4.2,4.2,3.5,3.6
2029.428571,338.5714286,2930.571429,1841.142857,508.8571429,80.14285714,380.4285714,1602.714286,91.85714286,4.2,3.5,3.6,3.1
